station,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,WS,WD,SR,BP,AT,RF,TOT-RF,latitude,longitude,PM2.5_pred
"Jahangirpuri, Delhi - DPCC",2022-01-02,368.0275,475.78125,67.85857142857142,88.78875,128.42666666666665,109.33666666666666,15.667499999999999,2.9800000000000004,35.58041666666667,,22.24625,73.95958333333333,0.20416666666666664,190.94291666666663,49.812916666666666,997.0329166666667,12.803333333333333,0.0,0.0,28.73282,77.170633,266.1256283371472
"Jahangirpuri, Delhi - DPCC",2022-01-03,359.465,463.2291666666667,84.64791666666667,99.99166666666667,122.92416666666668,109.62583333333335,19.131666666666664,2.8191666666666664,35.09041666666666,,19.642083333333332,72.41708333333334,0.23791666666666664,207.57083333333335,47.281666666666666,995.1229166666667,13.277916666666664,0.0,0.0,28.73282,77.170633,241.93231931731503
"Jahangirpuri, Delhi - DPCC",2022-01-04,341.1075,465.1770833333333,93.32681818181818,92.00999999999999,143.69916666666668,112.00666666666666,17.292916666666667,2.5786956521739133,23.693749999999998,,22.137083333333333,66.43166666666666,0.23041666666666663,170.09541666666667,49.72,994.3699999999999,14.476666666666667,0.0,0.0,28.73282,77.170633,212.4394713372059
"Jahangirpuri, Delhi - DPCC",2022-01-05,357.9375,447.8541666666667,86.40333333333332,86.66083333333331,116.94916666666666,116.87124999999999,10.36125,2.5275,25.64625,,17.99291666666667,87.31666666666666,0.4808333333333333,159.79791666666668,13.043333333333335,993.4866666666667,13.028333333333334,0.0,0.0,28.73282,77.170633,265.98513484427474
"Jahangirpuri, Delhi - DPCC",2022-01-06,151.48958333333334,203.3125,38.10874999999999,57.24458333333333,61.36166666666666,87.86375,9.891666666666667,1.8571428571428572,36.03458333333333,,10.249166666666666,82.85375,0.6000000000000001,167.49041666666665,48.54916666666667,993.3858333333334,14.240833333333333,0.0,0.0,28.73282,77.170633,106.61276696991986
"Jahangirpuri, Delhi - DPCC",2022-01-07,92.75333333333333,137.20833333333334,20.16,44.50666666666666,40.06625,82.68375,8.856250000000001,1.5166666666666666,26.640833333333333,,7.319583333333334,83.08083333333333,0.85125,173.1016666666667,43.45291666666666,993.0929166666668,14.70375,0.0,0.0,28.73282,77.170633,69.78729866229867
"Jahangirpuri, Delhi - DPCC",2022-01-08,63.792083333333345,84.41666666666667,15.803749999999999,40.24916666666667,34.2325,77.3025,8.608333333333333,1.3379166666666666,30.924583333333334,,6.968333333333334,93.12416666666665,0.7191666666666667,163.56041666666667,12.941249999999998,992.63375,14.249166666666667,0.0,0.0,28.73282,77.170633,60.73754148033908
"Jahangirpuri, Delhi - DPCC",2022-01-09,92.69458333333334,110.57291666666667,12.986249999999998,34.57416666666666,28.98125,68.01083333333332,6.734583333333333,1.4300000000000004,20.039166666666667,,6.020833333333333,93.13583333333334,0.2933333333333334,190.37749999999997,13.67375,992.0204166666666,13.359583333333333,0.0,0.0,28.73282,77.170633,43.2686933769634
"Jahangirpuri, Delhi - DPCC",2022-01-10,162.52833333333334,202.8125,30.725416666666664,46.55916666666667,49.73041666666668,67.97541666666666,13.86,1.78125,24.484166666666667,,13.363750000000001,85.70958333333333,0.28250000000000003,172.85666666666665,54.85958333333334,994.6429166666667,12.728333333333333,0.0,0.0,28.73282,77.170633,87.54914977501632
"Jahangirpuri, Delhi - DPCC",2022-01-11,163.87583333333333,208.01041666666666,32.755833333333335,49.69375,53.14083333333334,74.45333333333333,10.730416666666665,1.5716666666666665,22.089166666666667,,13.516666666666666,83.96125,0.30291666666666667,183.48749999999998,59.535833333333336,994.7908333333334,12.255416666666667,0.0,0.0,28.73282,77.170633,90.86971953068341
